interview__key	interview__id	roster	id1	id2	id3	variable	type	message__number	message
36-25-76-51	d63f85daf8ce4b75bcd7d340af820431						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
39-71-34-86	b66d9f33e8664b1b8a57392d133b36e8					gps	2	1	GPS has to be within 20m
39-71-34-86	b66d9f33e8664b1b8a57392d133b36e8						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
40-31-19-59	2f836aa193014ba5915f14ba2d123391					gps	2	1	GPS has to be within 20m
40-31-19-59	2f836aa193014ba5915f14ba2d123391						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
81-63-77-73	938988b3f7714d3aa86922079db69819					gps	2	1	GPS has to be within 20m
81-63-77-73	938988b3f7714d3aa86922079db69819						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
60-33-08-05	897e1ccb6ddf4fa093e9b91bd4e41fa1					gps	2	1	GPS has to be within 20m
60-33-08-05	897e1ccb6ddf4fa093e9b91bd4e41fa1						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
60-33-08-05	897e1ccb6ddf4fa093e9b91bd4e41fa1	oth_income_ros	21000			amount_cashIncome	2	1	The 12 months value entered for %rostertitle% seems unlikely. Please verify.
47-56-45-77	3cb90b1f45bc46e0a16286dca7f28a7b					gps	2	1	GPS has to be within 20m
47-56-45-77	3cb90b1f45bc46e0a16286dca7f28a7b						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
47-56-45-77	3cb90b1f45bc46e0a16286dca7f28a7b					last_pmt_wasteDisposal	2	1	Please check and confirm the amount spend on this service as it is unlikely
47-56-45-77	3cb90b1f45bc46e0a16286dca7f28a7b	narcotic_items_roster	2	221082002		amount_paid_cash_gift	2	1	The amount seems unrealistic, please confirm and accept it if correct
08-72-96-01	57fdaba12be641e19959e672b4ea6e38					gps	2	1	GPS has to be within 20m
08-72-96-01	57fdaba12be641e19959e672b4ea6e38						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
